datetime,low,high,open,close,volumefrom,volumeto
2013-10-06,122.0,238.0,238.0,122.0,0.1,12.2
2013-10-07,122.0,123.61,122.0,123.61,0.1,12.36
2013-10-08,123.61,124.19,123.61,124.18,3.99,495.14
2013-10-09,123.84,124.18,124.18,123.84,2.82,349.95
2013-10-10,123.84,125.86,123.84,125.86,2.0,251.71
2013-10-11,125.86,125.86,125.86,125.86,0.0,0.0
2013-10-12,125.86,127.5,125.86,127.0,4.0,508.9
2013-10-13,127.0,131.84,127.0,131.84,0.1,13.18
2013-10-14,131.84,135.59,131.84,135.59,12.01,1612.12
2013-10-15,133.88,153.0,135.59,133.88,4.3,586.09
2013-10-16,133.88,146.14,133.88,137.64,18.23,2617.67
2013-10-17,137.52,144.73,137.64,143.8,7.78,1091.69
2013-10-18,143.8,153.8,143.8,149.05,23.55,3514.17
2013-10-19,149.05,171.25,149.05,163.0,68.55,11309.22
2013-10-20,162.98,166.53,163.0,162.98,8.85,1458.33
2013-10-21,162.98,176.65,162.98,176.32,18.3,3169.71
2013-10-22,150.0,194.2,176.32,150.0,7.38,1404.31
2013-10-23,150.0,202.94,150.0,202.24,38.21,7447.13
2013-10-24,169.92,207.3,202.24,185.95,83.74,16514.45
2013-10-25,171.97,193.1,185.95,183.0,67.2,12182.36
2013-10-26,179.87,186.05,183.0,184.58,12.0,2211.39
2013-10-27,179.24,191.3,184.58,191.0,69.91,12910.72
2013-10-28,191.0,191.0,191.0,191.0,0.0,0.0
2013-10-29,191.0,195.0,191.0,195.0,0.6256,122.0
2013-10-30,195.0,203.94,195.0,203.77,9.72,1962.72
2013-10-31,199.0,203.77,203.77,202.1,2.26,451.57
2013-11-01,202.1,207.97,202.1,202.9,33.98,6969.44
2013-11-02,201.04,204.24,202.9,203.51,7.06,1425.28
2013-11-03,203.47,209.46,203.51,209.46,9.45,1953.39
2013-11-04,209.04,229.97,209.46,229.8,68.0,14920.44
2013-11-05,222.05,250.14,229.8,244.96,27.8,6571.71
2013-11-06,244.96,269.43,244.96,261.21,45.46,11793.82
2013-11-07,261.21,348.41,261.21,296.49,36.79,10392.78
2013-11-08,289.63,330.65,296.49,330.65,6.24,1972.18
2013-11-09,312.01,350.0,330.65,338.68,14.49,4657.31
2013-11-10,221.22,400.0,338.68,317.0,45.78,14101.63
2013-11-11,317.0,362.53,317.0,338.9,17.93,6157.93
2013-11-12,338.9,500.0,338.9,355.0,51.05,20285.72
2013-11-13,355.0,406.0,355.0,398.0,26.14,10087.25
2013-11-14,398.0,425.84,398.0,425.84,14.31,5965.67
2013-11-15,387.91,435.0,425.84,410.83,91.16,38702.16
2013-11-16,410.0,444.51,410.83,438.0,33.3,14255.95
2013-11-17,430.0,491.5,438.0,491.5,16.83,7846.81
2013-11-18,491.5,658.79,491.5,658.79,40.93,22109.73
2013-11-19,484.0,800.0,658.79,599.34,55.02,33928.64
2013-11-20,450.0,636.95,599.34,591.81,56.81,30907.66
2013-11-21,583.11,720.0,591.81,662.7,72.04,47002.52
2013-11-22,642.7,800.0,662.7,800.0,13.83,9833.95
2013-11-23,768.76,904.08,800.0,822.16,47.36,39966.46
2013-11-24,760.38,838.98,822.16,808.33,13.33,10573.66
2013-11-25,730.0,818.37,808.33,801.6,10.13,8072.34
2013-11-26,768.58,880.0,801.6,875.06,12.75,10535.84
2013-11-27,875.06,1081.09,875.06,993.44,48.01,45585.32
2013-11-28,935.08,1088.41,993.44,999.0,33.04,33452.36
2013-11-29,999.0,1151.4,999.0,1148.0,32.63,35374.41
2013-11-30,1094.38,1198.8,1148.0,1125.43,25.16,28810.99
2013-12-01,770.0,1130.0,1125.43,949.93,52.24,48236.99
2013-12-02,946.15,1047.16,949.93,1022.95,35.25,35685.96
2013-12-03,995.5,1076.52,1022.95,1047.11,25.07,26099.85
2013-12-04,981.76,1120.0,1047.11,1079.93,40.37,42466.0
2013-12-05,855.7,1110.0,1079.93,1032.05,64.74,64252.98
2013-12-06,858.65,1065.23,1032.05,858.65,60.34,57536.41
2013-12-07,600.96,950.0,858.65,713.49,124.15,91165.24
2013-12-08,670.0,800.36,713.49,779.0,48.49,36061.63
2013-12-09,779.0,914.3,779.0,899.73,61.35,53181.92
2013-12-10,899.44,975.11,899.73,954.64,69.8,65730.81
2013-12-11,820.0,979.23,954.64,883.78,43.06,38381.02
2013-12-12,857.38,919.08,883.78,873.0,7.66,6687.36
2013-12-13,853.07,916.6,873.0,868.23,26.14,22973.48
2013-12-14,850.0,885.35,868.23,862.17,12.29,10671.72
2013-12-15,820.0,885.0,862.17,869.84,35.2,30459.06
2013-12-16,662.66,884.0,869.84,707.0,64.13,49317.48
2013-12-17,674.74,758.85,707.0,702.0,63.68,45454.71
2013-12-18,380.0,702.0,702.0,528.0,211.21,111213.16
2013-12-19,517.62,700.0,528.0,688.66,39.27,25658.52
2013-12-20,624.39,718.22,688.66,624.39,48.08,32084.12
2013-12-21,605.0,700.0,624.39,621.45,12.11,7670.81
2013-12-22,605.0,681.38,621.45,641.06,54.13,35132.44
2013-12-23,633.72,680.0,641.06,659.5,27.48,17934.06
