datetime,low,high,open,close,volumefrom,volumeto
2015-08-07,0.6747,3.0,0.6747,3.0,123.93,371.79
2015-08-08,0.15,3.0,3.0,1.2,1942.89,1164.16
2015-08-09,1.2,1.2,1.2,1.2,0.0,0.0
2015-08-10,1.2,1.2,1.2,1.2,0.0,0.0
2015-08-11,0.6504,1.2,1.2,0.99,9234.57,7176.75
2015-08-12,0.905,1.29,0.99,1.29,1736.11,1899.47
2015-08-13,1.26,1.88,1.29,1.88,2815.45,4336.94
2015-08-14,1.79,2.1,1.88,1.79,5775.81,11016.93
2015-08-15,1.5,1.79,1.79,1.79,8677.61,14759.53
2015-08-16,0.5,1.79,1.79,1.37,9514.57,10568.8
2015-08-17,1.25,1.59,1.37,1.3,4299.16,6026.89
2015-08-18,1.15,1.36,1.3,1.36,2385.62,2859.76
2015-08-19,0.99,1.36,1.36,1.24,3978.66,4590.86
2015-08-20,1.24,1.52,1.24,1.52,912.41,1240.13
2015-08-21,1.44,1.53,1.52,1.44,6006.79,8754.76
2015-08-22,1.4,1.44,1.44,1.4,229.0,320.98
2015-08-23,1.31,1.4,1.4,1.35,258.02,347.48
2015-08-24,1.24,1.35,1.35,1.24,4969.03,6267.15
2015-08-25,1.22,1.28,1.24,1.27,911.44,1159.44
2015-08-26,1.08,1.27,1.27,1.18,1961.75,2251.14
2015-08-27,1.14,1.19,1.18,1.14,230.29,269.07
2015-08-28,1.14,1.3,1.14,1.3,20766.09,26921.03
2015-08-29,1.15,1.3,1.3,1.18,329.64,383.37
2015-08-30,1.17,1.35,1.18,1.32,6702.03,8722.02
2015-08-31,0.9,1.32,1.32,1.31,2994.89,3618.53
2015-09-01,1.31,1.38,1.31,1.36,723.1,991.07
2015-09-02,1.14,1.37,1.36,1.14,480.91,649.62
2015-09-03,1.14,1.33,1.14,1.23,2681.05,3476.93
2015-09-04,1.23,1.23,1.23,1.23,0.0,0.0
2015-09-05,1.23,1.37,1.23,1.37,7836.04,10379.19
2015-09-06,1.34,1.39,1.37,1.34,71.97,98.09
2015-09-07,1.28,1.34,1.34,1.28,73.31,93.51
2015-09-08,1.26,1.28,1.28,1.26,82.23,103.93
2015-09-09,1.21,1.26,1.26,1.21,3.0,3.63
2015-09-10,1.12,1.21,1.21,1.19,518.37,597.82
2015-09-11,0.9242,1.19,1.19,0.9242,1982.14,2078.32
2015-09-12,0.9242,1.15,0.9242,1.15,264.76,261.01
2015-09-13,0.8837,1.15,1.15,0.8856,3821.95,3721.85
2015-09-14,0.885,0.9622,0.8856,0.955,869.81,805.14
2015-09-15,0.804,1.0,0.955,0.95,2557.52,2272.4
2015-09-16,0.9363,0.9563,0.95,0.9363,40.88,39.08
2015-09-17,0.8238,0.9363,0.9363,0.875,51.5,42.59
2015-09-18,0.8523,0.88,0.875,0.8523,639.62,554.61
2015-09-19,0.8013,0.89,0.8523,0.89,3.78,3.07
2015-09-20,0.88,0.89,0.89,0.8871,13.55,11.97
2015-09-21,0.8871,0.95,0.8871,0.9412,25.29,23.81
