datetime,low,high,open,close,volumefrom,volumeto
2013-10-24,3.0,3.0,3.0,3.0,2.71,8.12
2013-10-25,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-26,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-27,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-28,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-29,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-30,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-31,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-01,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-02,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-03,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-04,3.0,3.0,3.0,3.0,7.27,21.81
2013-11-05,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-06,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-07,3.0,3.2,3.0,3.2,9.0,28.8
2013-11-08,3.2,3.2,3.2,3.2,0.8219,2.63
2013-11-09,3.2,3.2,3.2,3.2,0.0,0.0
2013-11-10,3.2,3.2,3.2,3.2,0.0,0.0
2013-11-11,3.2,3.2,3.2,3.2,0.0,0.0
2013-11-12,3.2,3.2,3.2,3.2,0.0,0.0
2013-11-13,3.2,5.0,3.2,5.0,225.75,1128.77
2013-11-14,3.0,5.0,5.0,3.0,12.0,38.0
2013-11-15,3.0,5.0,3.0,5.0,10.06,50.3
2013-11-16,4.25,5.0,5.0,4.25,5.07,21.54
2013-11-17,4.25,4.25,4.25,4.25,0.0,0.0
2013-11-18,4.25,5.0,4.25,5.0,5.0,25.0
2013-11-19,5.0,10.0,5.0,9.0,29.14,272.36
2013-11-20,9.0,9.0,9.0,9.0,2.47,22.26
2013-11-21,9.0,9.0,9.0,9.0,94.53,850.74
2013-11-22,9.0,11.0,9.0,10.0,63.81,658.15
2013-11-23,10.0,14.5,10.0,12.8,2577.36,32377.01
2013-11-24,10.0,13.8,12.8,10.0,7.62,96.56
2013-11-25,10.0,14.0,10.0,12.0,183.41,2328.81
2013-11-26,11.0,20.5,12.0,20.5,504.89,7634.59
2013-11-27,20.5,50.0,20.5,35.99,457.22,14864.46
2013-11-28,35.99,65.0,35.99,46.1,242.02,13001.19
2013-11-29,30.2,50.0,46.1,41.0,292.59,11730.18
2013-11-30,38.0,48.0,41.0,41.0,148.71,6048.13
2013-12-01,24.48,41.21,41.0,35.3,50.11,1676.31
2013-12-02,29.8,40.5,35.3,33.51,103.24,3620.97
2013-12-03,32.0,36.4,33.51,33.0,208.13,7169.14
2013-12-04,31.0,43.0,33.0,32.2,571.7,20974.84
2013-12-05,29.0,42.99,32.2,38.0,700.64,24291.88
2013-12-06,32.0,39.2,38.0,32.0,200.96,7020.76
2013-12-07,11.0,32.0,32.0,22.78,334.46,7637.81
2013-12-08,22.78,28.4,22.78,27.93,77.34,2092.79
2013-12-09,27.0,32.59,27.93,31.98,116.9,3602.87
2013-12-10,31.98,36.6,31.98,35.26,215.22,7327.32
2013-12-11,28.78,35.26,35.26,31.57,428.65,13797.23
2013-12-12,30.98,32.93,31.57,31.0,46.32,1459.21
2013-12-13,30.01,33.0,31.0,30.59,127.04,3919.76
2013-12-14,30.01,32.39,30.59,30.01,114.72,3515.69
2013-12-15,29.15,31.8,30.01,30.92,251.9,7727.67
2013-12-16,25.0,32.13,30.92,25.77,123.09,3419.23
2013-12-17,20.01,29.0,25.77,23.74,223.59,5200.48
2013-12-18,8.48,23.74,23.74,13.0,1001.01,14485.93
2013-12-19,13.0,20.0,13.0,19.8,41.36,781.76
2013-12-20,17.22,22.0,19.8,18.85,59.73,1168.64
2013-12-21,17.13,18.85,18.85,17.13,9.36,169.56
2013-12-22,17.13,19.01,17.13,18.0,133.66,2413.68
2013-12-23,16.73,18.74,18.0,17.2,229.36,4050.06
2013-12-24,17.2,18.0,17.2,18.0,53.75,944.91
2013-12-25,17.5,22.06,18.0,22.06,310.75,5994.88
2013-12-26,21.9,25.0,22.06,24.97,1008.08,24203.98
2013-12-27,22.0,24.97,24.97,22.06,317.59,7416.26
2013-12-28,22.06,23.33,22.06,22.33,12.11,270.87
2013-12-29,22.32,24.51,22.33,24.51,39.77,928.64
2013-12-30,23.16,25.18,24.51,24.96,187.11,4646.3
2013-12-31,23.55,24.98,24.96,23.55,12.77,315.99
2014-01-01,23.55,25.0,23.55,24.77,84.96,2048.27
2014-01-02,23.88,26.6,24.77,26.6,192.65,4818.29
2014-01-03,24.1,26.6,26.6,25.49,32.6,807.61
2014-01-04,24.05,25.49,25.49,24.05,17.32,417.81
2014-01-05,24.05,27.0,24.05,26.01,611.0,16138.62
2014-01-06,22.23,31.26,26.01,28.7,455.47,12995.74
2014-01-07,23.0,29.71,28.7,23.0,364.33,9318.1
2014-01-08,22.19,26.0,23.0,24.9,239.07,5690.11
2014-01-09,24.0,25.79,24.9,24.5,15.93,393.2
2014-01-10,24.0,25.79,24.5,24.06,35.93,885.85
2014-01-11,24.06,27.62,24.06,26.35,76.86,2015.33
2014-01-12,24.0,26.45,26.35,25.39,86.59,2208.84
2014-01-13,24.0,26.31,25.39,25.01,823.56,20878.49
2014-01-14,24.0,25.01,25.01,24.52,8.85,213.29
2014-01-15,24.39,25.47,24.52,24.52,19.19,471.28
2014-01-16,24.01,25.37,24.52,24.01,71.97,1748.23
2014-01-17,23.27,24.99,24.01,24.0,101.41,2426.34
2014-01-18,23.5,24.99,24.0,24.94,518.55,12878.59
2014-01-19,23.35,24.94,24.94,24.9,13.63,320.59
2014-01-20,24.28,24.9,24.9,24.28,21.2,519.71
2014-01-21,23.5,25.5,24.28,25.49,168.54,4143.67
2014-01-22,22.39,25.49,25.49,23.0,53.46,1259.7
2014-01-23,22.3,23.73,23.0,22.3,125.27,2821.68
2014-01-24,20.5,22.89,22.3,21.05,285.06,6188.42
2014-01-25,20.29,22.35,21.05,22.26,136.44,2899.2
2014-01-26,22.0,24.0,22.26,22.34,319.66,7269.52
2014-01-27,20.78,23.5,22.34,20.78,443.6,9919.93
2014-01-28,20.29,23.0,20.78,22.88,81.21,1833.9
2014-01-29,20.63,22.88,22.88,21.7,100.49,2131.67
2014-01-30,20.62,21.99,21.7,20.72,9.14,190.35
2014-01-31,20.72,21.61,20.72,21.59,52.26,1109.19
2014-02-01,21.3,22.66,21.59,21.46,32.25,703.46
2014-02-02,21.46,21.87,21.46,21.87,11.26,246.2
2014-02-03,21.41,21.87,21.87,21.41,3.63,78.3
2014-02-04,21.01,21.65,21.41,21.07,65.97,1399.25
2014-02-05,21.0,21.7,21.07,21.2,151.92,3208.53
2014-02-06,19.8,21.55,21.2,19.8,51.12,1040.26
2014-02-07,17.2,20.0,19.8,18.89,101.31,1864.81
2014-02-08,17.5,20.29,18.89,17.5,176.42,3356.29
2014-02-09,17.0,19.81,17.5,18.7,94.26,1765.1
2014-02-10,14.0,19.71,18.7,17.9,324.18,5163.63
2014-02-11,15.7,19.69,17.9,16.3,344.18,5492.58
2014-02-12,16.3,19.49,16.3,19.49,28.01,490.32
2014-02-13,16.38,19.49,19.49,16.42,181.79,2990.39
2014-02-14,14.37,16.84,16.42,16.76,86.08,1355.13
2014-02-15,16.28,16.76,16.76,16.28,1.4,22.79
2014-02-16,15.23,16.28,16.28,15.23,11.69,178.08
2014-02-17,15.23,15.76,15.23,15.76,25.29,385.79
2014-02-18,15.63,17.28,15.76,17.28,52.57,900.07
2014-02-19,15.81,17.41,17.28,15.83,8.17,134.4
2014-02-20,14.35,17.2,15.83,15.95,234.94,3719.94
2014-02-21,14.34,15.95,15.95,14.89,118.62,1798.45
2014-02-22,13.32,15.63,14.89,13.32,31.54,461.13
2014-02-23,13.32,16.62,13.32,15.0,104.95,1700.96
2014-02-24,14.21,15.93,15.0,15.22,121.65,1859.84
