datetime,low,high,open,close,volumefrom,volumeto
2017-06-21,0.2512,0.3099,0.3024,0.2731,5406928.21,1524163.7
2017-06-22,0.26,0.28,0.2731,0.272,4700831.1,1269953.95
2017-06-23,0.272,0.295,0.272,0.2936,2605256.97,742947.14
2017-06-24,0.263,0.3029,0.2936,0.2776,3558458.93,1002447.61
2017-06-25,0.243,0.28,0.2776,0.2552,5789536.75,1536363.94
2017-06-26,0.21,0.2647,0.2552,0.244,8424160.13,2002750.66
2017-06-27,0.22,0.261,0.244,0.261,5344430.27,1287678.81
2017-06-28,0.2464,0.27,0.261,0.269,4298694.0,1115929.1
2017-06-29,0.25,0.27,0.269,0.2578,2590053.32,672743.65
2017-06-30,0.2436,0.26,0.2578,0.244,3011724.96,764066.25
2017-07-01,0.227,0.25,0.244,0.2369,3003195.03,724180.75
2017-07-02,0.2275,0.2553,0.2369,0.2545,3805208.02,920290.01
2017-07-03,0.245,0.2566,0.2545,0.2524,4215987.48,1051476.23
2017-07-04,0.2461,0.258,0.2524,0.247,3747998.04,948437.78
2017-07-05,0.243,0.2574,0.247,0.253,3494546.93,871379.75
2017-07-06,0.2481,0.2541,0.253,0.2503,2071451.28,518518.51
2017-07-07,0.2295,0.252,0.2503,0.2308,5070964.72,1200793.23
2017-07-08,0.2105,0.2327,0.2308,0.23,17691507.07,3950497.2
2017-07-09,0.2254,0.2423,0.23,0.2258,4483771.46,1053737.92
2017-07-10,0.1701,0.2276,0.2258,0.1898,12073986.52,2498019.36
2017-07-11,0.1501,0.2,0.1898,0.1771,20330198.74,3513514.45
2017-07-12,0.165,0.1971,0.1771,0.1951,10380309.77,1922680.33
2017-07-13,0.18,0.2183,0.1951,0.1916,8082045.02,1611490.7
2017-07-14,0.1722,0.192,0.1916,0.1837,4944279.58,894852.18
2017-07-15,0.1702,0.1873,0.1837,0.1717,4699100.57,829199.04
2017-07-16,0.1266,0.175,0.1717,0.1469,17808413.72,2572995.17
2017-07-17,0.1447,0.1735,0.1469,0.1728,11402185.19,1809829.33
2017-07-18,0.16,0.19,0.1728,0.1791,11134342.84,1944182.42
2017-07-19,0.158,0.1834,0.1791,0.163,7414531.69,1276716.55
2017-07-20,0.1592,0.197,0.163,0.1912,10621581.21,1917342.15
2017-07-21,0.1813,0.195,0.1912,0.1838,9299542.13,1748370.99
2017-07-22,0.1816,0.205,0.1838,0.1975,6429708.61,1237253.82
2017-07-23,0.188,0.2075,0.1975,0.1973,8098776.31,1593728.16
2017-07-24,0.19,0.199,0.1973,0.1911,3493302.04,677013.82
2017-07-25,0.16,0.193,0.1911,0.1736,9110302.43,1614704.32
2017-07-26,0.1626,0.1795,0.1736,0.1726,7280514.8,1244412.65
2017-07-27,0.1701,0.176,0.1726,0.1726,4160664.03,720780.6
2017-07-28,0.1611,0.1743,0.1726,0.1639,6318135.56,1065931.85
2017-07-29,0.155,0.171,0.1639,0.1703,5855421.37,945482.81
2017-07-30,0.1622,0.1729,0.1703,0.1647,2224800.44,369350.84
2017-07-31,0.1583,0.1695,0.1647,0.1651,4776988.49,782237.84
2017-08-01,0.164,0.185,0.1651,0.1774,10534672.44,1819609.61
2017-08-02,0.1674,0.1807,0.1774,0.1719,7497825.05,1304521.47
2017-08-03,0.1695,0.1777,0.1719,0.175,4660312.11,806952.52
2017-08-04,0.1719,0.1774,0.175,0.1745,5567844.45,972435.27
2017-08-05,0.172,0.195,0.1745,0.1849,11753654.76,2149791.11
2017-08-06,0.179,0.1914,0.1849,0.1811,7113617.86,1310553.32
2017-08-07,0.1765,0.1827,0.1811,0.1785,6737820.86,1210690.44
2017-08-08,0.177,0.1979,0.1785,0.1979,11522878.67,2135819.93
2017-08-09,0.1834,0.1979,0.1979,0.187,7200290.77,1358512.85
